0.0	32767
0.03	32767
0.07	32767
0.1	32767
0.13	32767
0.17	32767
0.2	32767
0.23	32767
0.27	32767
0.3	32767
0.33	32767
0.37	32767
0.4	32767
0.43	32767
0.47	32767
0.5	32767
0.53	32767
0.57	32767
0.6	32767
0.63	32767
0.67	32767
0.7	32767
0.73	32767
0.77	32767
0.8	32767
0.83	32767
0.87	32767
0.9	32767
0.93	32767
0.97	32767
1.0	32767
1.03	32767
1.07	32767
1.1	32767
1.13	32767
1.17	32767
1.2	32767
1.23	32767
1.27	32767
1.3	32767
1.33	32767
1.37	32767
1.4	32767
1.43	32767
1.47	32767
1.5	32767
1.53	32767
1.57	32767
1.6	32767
1.63	32767
1.67	32767
1.7	32767
1.73	32767
1.77	32767
1.8	32767
1.83	32767
1.87	32767
1.9	32767
1.93	32767
1.97	32767
2.0	32767
2.03	32767
2.07	32767
2.1	32767
2.13	32767
2.17	32767
2.2	32767
2.23	32767
2.27	32767
2.3	32767
2.33	32767
2.37	32767
2.4	32767
2.43	32767
2.47	32767
2.5	32767
2.53	32767
2.57	32767
2.6	32767
2.63	32767
2.67	32767
2.7	32767
2.73	32767
2.77	32767
2.8	32767
2.83	32767
2.87	32767
2.9	32767
2.93	32767
2.97	32767
3.0	32767
3.03	32767
3.07	32767
3.1	32767
3.13	32767
3.17	32767
3.2	32767
3.23	32767
3.27	32767
3.3	32767
3.33	32767
3.37	32767
3.4	32767
3.43	32767
3.47	32767
3.5	32767
3.53	32767
3.57	32767
3.6	32767
3.63	32767
3.67	32767
3.7	32767
3.73	32767
3.77	32767
3.8	32767
3.83	32767
3.87	32767
3.9	32767
3.93	32767
3.97	32767
4.0	32767
4.03	32767
4.07	32767
4.1	32767
4.13	32767
4.17	32767
4.2	32767
4.23	32767
4.27	32767
4.3	32767
4.33	32767
4.37	32767
4.4	32767
4.43	32767
4.47	32767
4.5	32767
4.53	32767
4.57	32767
4.6	32767
4.63	32767
4.67	32767
4.7	32767
4.73	32767
4.77	32767
4.8	32767
4.83	32767
4.87	32767
4.9	32767
4.93	32767
4.97	32767
5.0	32767
5.03	32767
5.07	32767
5.1	32767
5.13	32767
5.17	32767
5.2	32767
5.23	32767
5.27	32767
5.3	32767
5.33	32767
5.37	32767
5.4	32767
5.43	32767
5.47	32767
5.5	32767
5.53	32767
5.57	32767
5.6	32767
5.63	32767
5.67	32767
5.7	32767
5.73	32767
5.77	32767
5.8	32767
5.83	32767
5.87	32767
5.9	32767
5.93	32767
5.97	32767
6.0	32767
6.03	32767
6.07	32767
6.1	32767
6.13	32767
6.17	32767
6.2	32767
6.23	32767
6.27	32767
6.3	32767
6.33	32767
6.37	32767
6.4	32767
6.43	32767
6.47	32767
6.5	32767
6.53	32767
6.57	32767
6.6	32767
6.63	32767
6.67	32767
6.7	32767
6.73	32767
6.77	32767
6.8	32767
6.83	32767
6.87	32767
6.9	32767
6.93	32767
6.97	32767
7.0	32767
7.03	32767
7.07	32767
7.1	32767
7.13	32767
